number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_E_v,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
283,0.017856927069943452,0.1516315177441231,2026-03-19 21:30:08.081969,2026-03-19 21:30:09.522936,0 days 00:00:01.440967,4.319317692943553,5.456853027108453,0.5501837426122003,47.40579182949398,54.54272453295386,4.2806985693121815,0.1385209548403867,4.269487413224854,3.2553698165642697e-07,5.351209735926775e-15,1.0012362898446848e-18,2.3795477341450494e-08,-15.759861727743441,4,,COMPLETE
284,0.09422494113590815,0.16216679565557232,2026-03-19 21:30:09.524930,2026-03-19 21:30:10.963154,0 days 00:00:01.438224,4.267714831225531,5.453576746965657,0.6234258800974195,49.043557213351974,51.92160066737277,4.379017340041488,0.0,4.43294945494321,3.2514050297916917e-07,3.012382076275439e-17,6.133336401824595e-17,8.958036117837931e-08,-17.319963379327806,4,,COMPLETE
285,0.0064643403581293975,0.3878507291238025,2026-03-19 21:30:10.964151,2026-03-19 21:30:12.248894,0 days 00:00:01.284743,4.318470229328691,5.450920596252912,0.7157423677303745,46.21884900785695,53.56774490080193,4.287879233956659,0.10499110346299284,4.288806446987535,3.2941767660691936e-07,8.681442506183188e-18,3.4676098402748415e-16,4.1368263514458885e-07,-16.014633997772194,4,,COMPLETE
286,,,2026-03-19 21:30:12.249891,2026-03-19 21:30:12.335606,0 days 00:00:00.085715,4.2532925735181255,5.453576746965657,0.5301812794359945,49.043557213351974,51.92160066737277,4.388114325381594,0.14231859359146662,4.43294945494321,3.265130796589844e-07,1.4560864289378093e-15,2.4773151053990014e-17,4.1368263514458885e-07,-17.498017643910664,4,,PRUNED
287,,,2026-03-19 21:30:12.337600,2026-03-19 21:30:12.440260,0 days 00:00:00.102660,4.267714831225531,5.453576746965657,0.5341968161373091,49.043557213351974,54.03909712597993,4.388114325381594,0.001794598390525459,4.43294945494321,3.265130796589844e-07,3.012382076275439e-17,2.4773151053990014e-17,8.958036117837931e-08,-17.498017643910664,4,,PRUNED
288,0.02077773072911403,0.17259246261754552,2026-03-19 21:30:12.441257,2026-03-19 21:30:13.775823,0 days 00:00:01.334566,4.39881822597366,5.462262024503001,0.5501837426122003,46.61422130712124,51.965961638096466,4.201656402414745,0.08462684697157842,4.200000043430672,3.2553698165642697e-07,9.732146481911272e-18,1.1762889558805954e-17,8.016219822808743e-08,-15.759861727743441,4,,COMPLETE
289,0.010527578919968476,0.11877493723243711,2026-03-19 21:30:13.777817,2026-03-19 21:30:15.016727,0 days 00:00:01.238910,4.3531490470751235,5.492885541501811,0.5965613890271039,46.99495883646728,53.56774490080193,4.32700183737923,0.11990900582921987,4.460051177614863,3.265130796589844e-07,5.384266133332902e-18,7.823434214204783e-15,6.344925211433327e-07,-14.184065506104531,4,,COMPLETE
290,0.0067331599172614,0.18738674670763614,2026-03-19 21:30:15.017723,2026-03-19 21:30:16.323401,0 days 00:00:01.305678,4.2532925735181255,5.453576746965657,0.6027730447351021,48.14132427045731,52.47526554884281,4.41547464996025,0.0,4.244081571429584,3.29370605436416e-07,3.012382076275439e-17,2.0000000000000017e-17,8.016219822808743e-08,-15.896159196151439,4,,COMPLETE
291,0.04359845503008187,0.15112908546032724,2026-03-19 21:30:16.324398,2026-03-19 21:30:17.646007,0 days 00:00:01.321609,4.319317692943553,5.461123537494705,0.5628772404334216,49.043557213351974,53.24357663931989,4.379017340041488,0.10499110346299284,4.301151923701084,3.3111952124065384e-07,8.681442506183188e-18,5.495658956410564e-15,4.1368263514458885e-07,-16.014633997772194,4,,COMPLETE
292,0.00942473528887756,0.859714596679199,2026-03-19 21:30:17.647005,2026-03-19 21:30:18.966511,0 days 00:00:01.319506,4.318470229328691,5.432761154294956,0.9723542126106088,48.40830545410283,50.656872099270345,4.379017340041488,0.10499110346299284,4.223927318064577,3.28e-07,1.0000000000000014e-18,3.029556963807351e-18,1.4124333922459682e-07,-15.82986621243128,4,,COMPLETE
