lambda n k
5.050000000000000354e-07 1.407904000000000044e+00 1.870199999999999918e-01
5.060000000000000046e-07 1.405856999999999912e+00 1.883460000000000134e-01
5.070000000000000798e-07 1.403839999999999977e+00 1.897119999999999918e-01
5.080000000000000490e-07 1.401855000000000073e+00 1.911160000000000081e-01
5.090000000000000183e-07 1.399901000000000062e+00 1.925560000000000049e-01
5.099999999999999875e-07 1.397977999999999943e+00 1.940300000000000080e-01
5.110000000000000626e-07 1.396085999999999938e+00 1.955379999999999896e-01
5.120000000000000319e-07 1.394227000000000105e+00 1.970760000000000012e-01
5.130000000000000011e-07 1.392398999999999942e+00 1.986449999999999882e-01
5.140000000000000763e-07 1.390601999999999894e+00 2.002420000000000033e-01
5.150000000000000455e-07 1.388835999999999959e+00 2.018669999999999909e-01
5.160000000000000148e-07 1.387100999999999917e+00 2.035170000000000035e-01
5.169999999999999840e-07 1.385396000000000072e+00 2.051920000000000133e-01
5.180000000000000591e-07 1.383720999999999979e+00 2.068909999999999916e-01
5.190000000000000284e-07 1.382074999999999942e+00 2.086119999999999919e-01
5.199999999999999976e-07 1.380457999999999963e+00 2.103549999999999864e-01
5.210000000000000728e-07 1.378868999999999900e+00 2.121190000000000020e-01
5.220000000000000420e-07 1.377307000000000059e+00 2.139030000000000098e-01
5.230000000000000113e-07 1.375771999999999995e+00 2.157070000000000098e-01
5.239999999999999805e-07 1.374263000000000012e+00 2.175290000000000001e-01
5.250000000000000557e-07 1.372779999999999889e+00 2.193690000000000084e-01
5.260000000000000249e-07 1.371321000000000012e+00 2.212280000000000080e-01
5.269999999999999942e-07 1.369885000000000019e+00 2.231039999999999968e-01
5.280000000000000693e-07 1.368473000000000050e+00 2.249970000000000026e-01
5.290000000000000385e-07 1.367083000000000048e+00 2.269069999999999976e-01
5.300000000000000078e-07 1.365714000000000095e+00 2.288340000000000096e-01
5.310000000000000829e-07 1.364365999999999968e+00 2.307780000000000109e-01
5.320000000000000522e-07 1.363037999999999972e+00 2.327390000000000014e-01
5.330000000000000214e-07 1.361728999999999967e+00 2.347170000000000090e-01
5.339999999999999907e-07 1.360438000000000036e+00 2.367120000000000057e-01
5.350000000000000658e-07 1.359164999999999957e+00 2.387259999999999938e-01
5.360000000000000350e-07 1.357909000000000033e+00 2.407569999999999988e-01
5.370000000000000043e-07 1.356670000000000043e+00 2.428059999999999941e-01
5.380000000000000794e-07 1.355445999999999929e+00 2.448740000000000083e-01
5.390000000000000487e-07 1.354238000000000053e+00 2.469619999999999871e-01
5.400000000000000179e-07 1.353043999999999913e+00 2.490700000000000136e-01
5.409999999999999872e-07 1.351866000000000012e+00 2.511990000000000056e-01
5.420000000000000623e-07 1.350700000000000012e+00 2.533489999999999909e-01
5.430000000000000315e-07 1.349549000000000110e+00 2.555220000000000269e-01
5.440000000000000008e-07 1.348411000000000026e+00 2.577180000000000026e-01
5.450000000000000759e-07 1.347285999999999984e+00 2.599380000000000024e-01
5.460000000000000452e-07 1.346173999999999982e+00 2.621829999999999994e-01
5.470000000000000144e-07 1.345075000000000021e+00 2.644540000000000224e-01
5.479999999999999837e-07 1.343989000000000100e+00 2.667519999999999891e-01
5.490000000000000588e-07 1.342915000000000081e+00 2.690779999999999839e-01
5.500000000000000281e-07 1.341855999999999938e+00 2.714340000000000086e-01
5.509999999999999973e-07 1.340808999999999918e+00 2.738200000000000078e-01
5.520000000000000724e-07 1.339776000000000078e+00 2.762379999999999836e-01
5.530000000000000417e-07 1.338757999999999893e+00 2.786890000000000200e-01
5.540000000000000109e-07 1.337754000000000110e+00 2.811730000000000063e-01
5.550000000000000861e-07 1.336765999999999899e+00 2.836929999999999730e-01
5.560000000000000553e-07 1.335793999999999926e+00 2.862500000000000044e-01
5.570000000000000246e-07 1.334839000000000109e+00 2.888430000000000164e-01
5.579999999999999938e-07 1.333901999999999921e+00 2.914760000000000129e-01
5.590000000000000689e-07 1.332983000000000029e+00 2.941489999999999938e-01
5.600000000000000382e-07 1.332084999999999964e+00 2.968629999999999880e-01
5.610000000000000074e-07 1.331209000000000087e+00 2.996190000000000242e-01
5.620000000000000826e-07 1.330354999999999954e+00 3.024189999999999934e-01
5.630000000000000518e-07 1.329525000000000068e+00 3.052630000000000066e-01
5.640000000000000211e-07 1.328721000000000041e+00 3.081519999999999815e-01
5.649999999999999903e-07 1.327944999999999931e+00 3.110879999999999757e-01
5.660000000000000654e-07 1.327198000000000100e+00 3.140709999999999891e-01
5.670000000000000347e-07 1.326481999999999939e+00 3.171019999999999950e-01
5.680000000000000039e-07 1.325800000000000090e+00 3.201809999999999934e-01
5.690000000000000791e-07 1.325153000000000025e+00 3.233099999999999863e-01
5.700000000000000483e-07 1.324543999999999944e+00 3.264889999999999737e-01
5.710000000000000176e-07 1.323973999999999984e+00 3.297169999999999823e-01
5.719999999999999868e-07 1.323447000000000040e+00 3.329969999999999875e-01
5.730000000000000620e-07 1.322964000000000029e+00 3.363260000000000138e-01
5.740000000000000312e-07 1.322529000000000066e+00 3.397069999999999812e-01
5.750000000000000004e-07 1.322143000000000068e+00 3.431379999999999986e-01
