lambda	I
8.710000000000000040e-07	9.447842735712489812e+05
8.720000000000000791e-07	9.407323769839296583e+05
8.730000000000000484e-07	9.152496795623255894e+05
8.740000000000000176e-07	9.040297014037315967e+05
8.750000000000000928e-07	8.667180729089840315e+05
8.760000000000000620e-07	8.401815018078569556e+05
8.770000000000000313e-07	8.354388898338073632e+05
8.780000000000001064e-07	8.036417644504939672e+05
8.790000000000000756e-07	7.820712784145543119e+05
8.800000000000000449e-07	7.617722425028716680e+05
8.810000000000000141e-07	7.316622370602040319e+05
