number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
167,0.01328101493498889,0.23863093712440453,2026-03-12 16:17:45.746103,2026-03-12 16:17:47.174644,0 days 00:00:01.428541,4.2894036759778436,0.6517491420782349,48.648565418450275,53.5428451284134,4.4380580288926765,5.272742437288826,4.3222117993860385,2.0901925066677717e-07,7.083774874400504e-18,2.304448909257957e-18,3.5259168300926486e-08,-16.471076045592465,2,,COMPLETE
168,0.05153402349178368,0.4603724596187284,2026-03-12 16:17:47.175665,2026-03-12 16:17:48.385498,0 days 00:00:01.209833,4.4060748298071655,0.7265296794997402,49.34162624127741,51.890915954402686,4.2606897732593785,5.29617849492808,4.3504276842160605,2.056383176588091e-07,2.1531558866857132e-18,2.9140042953792085e-18,1.8410647860518303e-07,-14.044210425150215,2,,COMPLETE
169,0.061565437176554584,0.1103591794939146,2026-03-12 16:17:48.386505,2026-03-12 16:17:49.563023,0 days 00:00:01.176518,4.279304736618891,0.5682804940581229,46.610149153885544,53.097893756593145,4.31981186095546,5.244643202237076,4.410875561627365,2.162783237557767e-07,4.074296716957069e-16,1.6636531310287957e-18,4.077373873514901e-07,-15.267294172452925,2,,COMPLETE
170,0.034475261946157146,0.6840007919391394,2026-03-12 16:17:49.564020,2026-03-12 16:17:50.736218,0 days 00:00:01.172198,4.247840569851838,0.6747403778841488,48.825691196573146,52.262989788693936,4.268813091646,5.350445295219125,4.446414958753977,1.876832353025081e-07,1.4480680252014932e-17,5.3258409479554946e-15,2.3787380806164946e-08,-18.11637498546141,2,,COMPLETE
171,0.02598959320661411,0.01354017736945007,2026-03-12 16:17:50.738211,2026-03-12 16:17:51.529564,0 days 00:00:00.791353,4.374771739689713,0.5067484957369444,49.34162624127741,51.18911220367599,4.285150288098558,5.2534411527595015,4.469120974115542,1.869879073017254e-07,2.1531558866857132e-18,2.426127071096088e-17,2.2485034718470363e-07,-16.265023557512162,3,,COMPLETE
172,0.09534421639680567,0.31973745295445605,2026-03-12 16:17:51.530561,2026-03-12 16:17:52.434711,0 days 00:00:00.904150,4.431117992446361,0.5682804940581229,47.15646163548254,54.78541237116072,4.386511251404959,5.362342785920805,4.410875561627365,1.8773068027944915e-07,6.872725624104755e-17,4.845767715751589e-18,6.04666892567387e-08,-15.691338352203454,3,,COMPLETE
173,0.01744878611243673,0.14705502569337034,2026-03-12 16:17:52.434711,2026-03-12 16:17:53.824716,0 days 00:00:01.390005,4.469936324117428,0.5,48.40830545410283,51.890915954402686,4.499798471748607,5.35,4.2199399720778565,2e-07,4.333147942867113e-15,1.0820244357093084e-17,1.038753844698836e-08,-14.044210425150215,3,,COMPLETE
174,0.06922416089374747,0.3322732543655527,2026-03-12 16:17:53.825713,2026-03-12 16:17:55.085859,0 days 00:00:01.260146,4.374771739689713,0.5067484957369444,49.34162624127741,52.110388815636846,4.418751351261052,5.1762475771856735,4.469120974115542,2.0180027014638015e-07,2.1531558866857132e-18,4.212179063424113e-16,2.803051082185707e-07,-16.992915843889964,3,,COMPLETE
175,0.07613139350582958,0.10217729142275586,2026-03-12 16:17:55.086862,2026-03-12 16:17:56.380208,0 days 00:00:01.293346,4.414992737009868,0.5249189876232664,47.967143274990704,52.11580764647549,4.268813091646,5.1762475771856735,4.342646382747963,2.1697632560309568e-07,2.6556817628958766e-17,3.7776294977019974e-18,7.745091510787422e-08,-18.11637498546141,3,,COMPLETE
176,,,2026-03-12 16:17:56.381206,2026-03-12 16:17:56.436131,0 days 00:00:00.054925,4.47613574687058,0.6733535703777729,47.56690662719565,53.5428451284134,4.2423107048687365,5.1954347911197605,4.413996063031318,2.1250671850514188e-07,1.108825396719287e-18,1.6201410232225547e-17,4.187789165667718e-08,-16.099718570567102,3,,PRUNED
